date,cor_code,경기전망,내수전망,수출전망,업체간 과당경쟁,영업이익실적,인건비상승,인력확보난,자금사정실적,자금조달곤란,판매대금회수지연,도산가능성
2019-02-01,240124,3.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,2.97
2019-03-01,240124,3.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,3.63
2019-04-01,240124,3.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,3.73
2019-05-01,240124,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.68
2019-06-01,240124,3.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.8
2019-07-01,240124,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.03
2019-08-01,240124,3.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.84
2019-09-01,240124,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.87
2019-10-01,240124,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.7
2019-11-01,240124,4.0,4.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,4.31
2019-12-01,240124,4.0,4.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.77
2020-01-01,240124,2.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.43
